geoid,zip,population,median_income
86000US28662,28662,114,45165
86000US28663,28663,617,47222
86000US28665,28665,2377,47667
86000US28666,28666,125,34518
86000US28667,28667,453,0
86000US28668,28668,314,36053
86000US28669,28669,2663,0
86000US28670,28670,3590,41250
86000US28671,28671,577,50774
86000US28672,28672,16,40875
86000US28673,28673,6307,0
86000US28675,28675,7033,78479
86000US28676,28676,4028,34069
86000US28677,28677,34545,52543
86000US28678,28678,6577,45191
86000US28679,28679,1740,48083
86000US28681,28681,25636,46250
86000US28682,28682,1301,45788
86000US28683,28683,1135,72589
86000US28684,28684,2370,28190
86000US28685,28685,1979,41163
86000US28689,28689,2071,37813
86000US28690,28690,9125,61000
86000US28692,28692,3941,41875
86000US28693,28693,1819,56361
86000US28694,28694,7459,35125
86000US28697,28697,13638,43586
86000US28698,28698,2247,46769
86000US28701,28701,3224,42609
86000US28702,28702,560,53750
86000US28704,28704,19060,54327
86000US28705,28705,7139,63223
86000US28707,28707,160,43878
86000US28708,28708,375,0
86000US28709,28709,2302,34674
86000US28711,28711,13398,47250
86000US28712,28712,20017,45329
86000US28713,28713,8704,46490
86000US28714,28714,17044,35963
86000US28715,28715,26318,40422
86000US28716,28716,17807,53594
86000US28717,28717,1640,49018
86000US28718,28718,363,41108
86000US28719,28719,8025,43512
86000US28720,28720,140,37359
86000US28721,28721,10152,31500
86000US28722,28722,6477,46290
86000US28723,28723,11182,48028
86000US28725,28725,55,33180
86000US28726,28726,3219,0
86000US28729,28729,3271,36054
86000US28730,28730,9248,52702
86000US28731,28731,8354,62995
86000US28732,28732,17479,55611
86000US28733,28733,10,59993
86000US28734,28734,26935,0
86000US28735,28735,293,41766
86000US28736,28736,603,30229
86000US28739,28739,21474,40777
86000US28740,28740,759,53965
86000US28741,28741,3748,33314
86000US28742,28742,2660,61218
86000US28743,28743,1987,65972
86000US28745,28745,461,38018
86000US28746,28746,2371,57222
86000US28747,28747,2243,60400
86000US28748,28748,12613,36653
86000US28749,28749,29,46075
86000US28751,28751,3387,0
86000US28752,28752,30591,48177
86000US28753,28753,9937,41632
86000US28754,28754,10138,40883
86000US28756,28756,4715,45428
86000US28757,28757,116,49452
86000US28759,28759,7488,113365
86000US28761,28761,7671,63547
86000US28762,28762,6958,37889
86000US28763,28763,2758,37845
86000US28766,28766,1222,65754
86000US28768,28768,7388,56500
86000US28771,28771,8095,50267
86000US28772,28772,1061,35238
86000US28773,28773,3056,45670
86000US28774,28774,1008,51546
86000US28775,28775,267,59167
86000US28777,28777,10314,0
86000US28778,28778,9939,45220
86000US28779,28779,18141,46265
86000US28781,28781,973,53582
86000US28782,28782,6562,31429
86000US28783,28783,1809,51262
86000US28785,28785,7811,38459
86000US28786,28786,20821,58551
86000US28787,28787,21314,48486
86000US28789,28789,5281,53258
86000US28790,28790,3308,40708
86000US28791,28791,14954,70641
86000US28792,28792,34945,53964
86000US28801,28801,13683,45629
86000US28803,28803,33756,33504
86000US28804,28804,22189,50475
86000US28805,28805,19818,59855
86000US28806,28806,42650,49893
86000US28901,28901,4874,46726
86000US28902,28902,1377,33628
86000US28904,28904,8759,40167
86000US28905,28905,2995,38188
86000US28906,28906,19401,38871
86000US28909,28909,1031,41856
86000US29323,29323,12489,42938
86000US29341,29341,20482,44672
86000US29356,29356,8459,41454
86000US29545,29545,1444,51747
86000US29710,29710,35157,29571
86000US29715,29715,32066,68716
86000US29720,29720,47797,77956
86000US29728,29728,9722,40823
86000US30559,30559,4701,34410
86000US37333,37333,517,41588
86000US37385,37385,8284,25208
86000US37687,37687,4516,35862
86000US37738,37738,5555,32629
86000US37885,37885,5761,38008
